Allemagne;10.000;176.28
Allemagne;20.000;43.12
Belgique;10.000;2551.45
Belgique;20.000;822.68
Espagne;10.000;144.78
Espagne;20.000;29.63
Finlande;10.000;84.76
Finlande;20.000;47.1
Grèce;10.000;94.56
Grèce;20.000;41.1
Italie;10.000;628.6
Italie;20.000;157.62
Luxembourg;10.000;109.9
Luxembourg;20.000;31.04
Portugal;10.000;216.59
Portugal;20.000;30.9
République Tchèque;10.000;78.8
République Tchèque;20.000;38.35
Eire;10.000;101.65
Eire;20.000;29.7
Roumanie;10.000;969.33
Roumanie;20.000;255.6
Estonie;10.000;14.1
Estonie;20.000;22.03
