Allemagne;7.000;60.76
Allemagne;19.000;88.79
Autriche;13.000;45.96
Autriche;20.000;13.2
Belgique;12.000;4288.03
Belgique;21.000;976.34
Espagne;21.000;215.2
Espagne;10.000;517.83
Finlande;14.000;226.96
Finlande;24.000;82.34
Grèce;13.000;9.1
Grèce;24.000;19.84
Italie;10.000;103.11
Italie;22.000;38.49
Luxembourg;8.000;85.5
Luxembourg;17.000;20.78
Pays-Bas;9.000;24.28
Pays-Bas;21.000;6.9
Portugal;13.000;140.9
Portugal;23.000;40.7
Suède;12.000;18.26
Suède;25.000;8.13
Danemark;25.000;125.69
Roumanie;9.000;967.72
Roumanie;19.000;212.53
