Allemagne;7.000;311.61
Allemagne;19.000;78.16
Autriche;13.000;19.06
Autriche;20.000;7.8
Belgique;12.000;5774.14
Belgique;21.000;1301.82
Espagne;10.000;519.53
Espagne;21.000;140.33
Finlande;14.000;77.76
Finlande;24.000;14.26
Grèce;13.000;109.44
Grèce;24.000;14.26
Italie;10.000;115.55
Italie;22.000;44.59
Luxembourg;8.000;104.81
Luxembourg;17.000;29.39
Pays-Bas;9.000;90.82
Pays-Bas;21.000;28.44
Pologne;8.000;30.69
Pologne;23.000;15.44
Portugal;13.000;334.12
Portugal;23.000;91.21
République Tchèque;15.000;186.18
République Tchèque;21.000;21.51
Danemark;25.000;303.31
Irlande;13.500;333.76
Irlande;23.000;61.91
Roumanie;9.000;433.45
Roumanie;19.000;100.24
