Allemagne;7.000;120.71
Allemagne;19.000;21.48
Belgique;12.000;3533.004124
Belgique;21.000;760.22
Espagne;10.000;886.122085
Espagne;21.000;134.72
Finlande;14.000;78.64
Finlande;24.000;40.3
Italie;10.000;134.61
Italie;22.000;52.95
Luxembourg;8.000;19.57
Luxembourg;17.000;22.96
Pologne;8.000;35.51
Pologne;23.000;16.43
Portugal;13.000;485.599052
Portugal;23.000;130.14
Eire;13.500;318.3
Eire;23.000;19
Roumanie;9.000;474.48
Roumanie;19.000;96.72
Lettonie;12.000;91.92
Lettonie;21.000;23.57
Lituanie;9.000;166.86
Lituanie;21.000;22.57
