Allemagne;7.000;76
Allemagne;5.500;29.7
Allemagne;19.000;41.6
Belgique;12.000;3589.673278
Belgique;5.500;1028.92
Belgique;21.000;2305.230846
Espagne;5.500;73.4
Espagne;10.000;302.54
Espagne;21.000;74.15
Grèce;5.500;184
Grèce;24.000;27.59
Italie;10.000;575.76
Italie;5.500;85
Italie;22.000;116.11
Luxembourg;8.000;111.06
Luxembourg;17.000;22.69
Portugal;5.500;109
Portugal;13.000;131.17
Portugal;23.000;84.56
Suède;25.000;41.88
Suède;12.000;35.23
Irlande;13.500;173.95
Irlande;23.000;40.59
Roumanie;9.000;550.53
Roumanie;19.000;188.44
