Activité,"CA HT octobre 2023"
"Graines Potagères",0.00
"Plants PDT",0.00
"Petits fruits",0.00
"Bulbes Potagers",6.22
Accessoires,0.00
"Produits Originaux",0.00
"Patates Douces",0.00
Rosiers,0.00
"Bulbes à Fleurs",0.00
Serres,0.00
Gazon,0.00
"Cartes Cadeaux",0.00
Box,0.00
"Frais livraison",4.08
"Réductions autres",0.31
