ID,ref,Sous-catégorie,Variété,,Nom,Title,Type variétal,Production,Conditionnement,Fournisseur,Prix d'achat,Prix de vente,impact sur le poids,EAN,Meta-title
3497,,351,Trevor F1 Bio,Plant de ,Courge butternutTrevor F1 Bio,Plant de Courge butternutTrevor F1 Bio,,54,10515,79,0.00,2.90,0.20,3701450217327,Nos plants potagers en godet de Courge butternutTrevor F1 Bio - La Bonne Graine
42,,352,Black Beauty,Plant de ,352Black Beauty,Plant de Courgette Black Beauty,,10415,10515,79,0.00,2.80,0.20,3701450217334,Nos plants potagers en godet de Courgette Black Beauty - La Bonne Graine
47,,352,Ambassador F1,Plant de ,352Ambassador F1,Plant de Courgette Ambassador F1,,10415,10515,79,0.00,2.90,0.20,3701450217341,Nos plants potagers en godet de Courgette Ambassador F1 - La Bonne Graine
933,,352,Ronde de Nice Bio,Plant de ,352Ronde de Nice Bio,Plant de Courgette Ronde de Nice Bio,,54,10515,79,0.00,2.90,0.20,3701450217358,Nos plants potagers en godet de Courgette Ronde de Nice Bio - La Bonne Graine
1363,,352,Atena Polka F1,Plant de ,352Atena Polka F1,Plant de Courgette Atena Polka F1,,10415,10515,79,0.00,2.90,0.20,3701450217440,Nos plants potagers en godet de Courgette Atena Polka F1 - La Bonne Graine
1916,,352,Nimba,Plant de ,352Nimba,Plant de Courgette Nimba,,10415,10515,79,0.00,2.80,0.20,3701450217655,Nos plants potagers en godet de Courgette Nimba - La Bonne Graine
2309,,352,Blanche de Trieste Bio,Plant de ,352Blanche de Trieste Bio,Plant de Courgette Blanche de Trieste Bio,,54,10515,79,0.00,2.90,0.20,3701450217679,Nos plants potagers en godet de Courgette Blanche de Trieste Bio - La Bonne Graine
3030,,352,Luneor F1 Bio,Plant de ,352Luneor F1 Bio,Plant de Courgette Luneor F1 Bio,,54,10515,79,0.00,2.90,0.20,3701450218621,Nos plants potagers en godet de Courgette Luneor F1 Bio - La Bonne Graine
3685,,352,Caserta Bio,Plant de ,352Caserta Bio,Plant de Courgette Caserta Bio,,54,10515,79,0.00,2.90,0.20,3701450218638,Nos plants potagers en godet de Courgette Caserta Bio - La Bonne Graine
105,,353,Charentais,Plant de ,353Charentais,Plant de Melon Charentais,,10415,10515,79,0.00,2.80,0.20,3701450218645,Nos plants potagers en godet de Melon Charentais - La Bonne Graine
866,,353,Vieille France Bio,Plant de ,353Vieille France Bio,Plant de Melon Vieille France Bio,,54,10515,79,0.00,2.90,0.20,3701450218706,Nos plants potagers en godet de Melon Vieille France Bio - La Bonne Graine
935,,353,Petit gris de Rennes Bio,Plant de ,353Petit gris de Rennes Bio,Plant de Melon Petit gris de Rennes Bio,,54,10515,79,0.00,2.90,0.20,3701450218713,Nos plants potagers en godet de Melon Petit gris de Rennes Bio - La Bonne Graine
